Ubicación física;Título;Autor(es)
DEGIP: A-37;Menphis I: British School of Archaeology in Egypt and Egyptian Research Account Fourteenth Year, 1908;
DEGIP: A-38;;
DEGIP: A-139;Macedonia y la transformación del mundo antiguo;
DEGIP: A-40;;Fuscaldo, Perla
DEGIP: C2;Die Rolle ägyptischer Könige im Bewuftsein ihrer Nachwelt;
DEGIP: C3;Studien zur chronologie der Nubischen C-Gruppe;
DEGIP: C4;Ancient Egyptian coregencies;
"DEGIP: C5; DIPA 5-2-1";Pottery analysis;
DEGIP:C8A;Achaemenid history II: the Greek sources: proceedings of the Groningen 1984 Achaemenid History Workshop;
DEGIP: C8B;Achaemenid history III: method and theory: proceedings of the London 1985 Achaemenid History Workshop;
DEGIP: C8C;Achaemenid history IV: Asia Minor and Egypt: old cultures in a New Empire: proceedings of the Groningen 1988 Achaemenid History Workshop;
DEGIP: C9C;Introduction to Akkadian;
DEGIP: C9A;<The> Hurrians;
DEGIP: C9B;Egypt and Canaan in the New Kingdom;
DEGIP: C11;<An> outline of the late egyptian verbal system;
DEGIP: C11;Atlante storico del Vicino Oriente Antico;
DEGIP: C6-9A-9D;;Rosenvasser, Abraham
DEGIP: C6-5A;;Rosenvasser, Abraham
DEGIP: C6,CA;;Rosenvasser, Abraham
DEGIP: C6 7A-7C;;Rosenvasser, Abraham
DEGIP: C6 8;;Rosenvasser, Abraham
DEGIP: C6 10;;Rosenvasser, Abraham
DEGIP: C6 11;;Rosenvasser, Abraham
DEGIP: C6 12B;;Rosenvasser, Abraham
DEGIP:C6 13A-13C;;Rosenvasser, Abraham
DEGIP: C6 14A-14B;;Rosenvasser, Abraham
DEGIP: C6 4A-B;;Rosenvasser, AbrahamBresciani, Edda
DEGIP:C6 3A-B;;Rosenvasser, AbrahamMichalowski, Kazimierz
DEGIP:C6 15;;Rosenvasser, Abraham
DEGIP: C6 1A-1B;;Rosenvasser, Abraham
DEGIP:C6 2A-B;;Rosenvasser, Abraham
DEGIP:Neo-Egipcio;Grammaire du neo-egyptien;
DEGIP:Neo-Egipcio;;Korostovsev, M.
DEGIP:Neo-Egipcio;;Cerny, J.Israelit Groll, S.
DEGIP:A8;Commercial amphoras of the Bodrum Museum of underwater archaeology: maritime trade of the Mediterranean in ancient times;
DEGIP:A5;An introduction to ancient egyptian pottery;
DEGIP:;;
DEGIP:A4;;Hancock, R.G.Aufreiter, S.Elsokkary, I.
DEGIP:A3;Ancient pottery of the holy land: from its beginnings in the neolithic period to the end of the Iron Age;
DEGIP:A4;;Adams, William Y.
DEGIP:B8;;Bourriau, Janine
DEGIP:B8;;Gratien, Brigitte
DEGIP:B8;;Carrez Maratray, Jean YvesWagner, GuyEl Tabat'I, AhmedEl Gindi, R.
DEGIP:B1;<The> Tell el Hesi fiel manual;
DEGIP:B9;;Bikai, Patricia Maynor
DEGIP:B3;Umm El Ga'ab: pottery from the Nile Valley before the Arab conquest;
DEGIP:B2;;Bulté, Jeanne
DEGIP:B4a;;
DEGIP: 2-1-32;Tel Anafa II, i: the Hellenistic and Roman pottery;
DEGIP: C1;;
DEGIP:C6;Kition-Bamboula I: les timbres amphoriques;
DEGIP:C4;Tell El Far'Ah I: l'âge du fer;
DEGIP:C7A;Handbook for field operations: excavations at Tell Gezer phase II;
DEGIP:H;;Bourriau, Janine, ed.Valbelle, Dominique, ed.
DEGIP:C7A, C7B;Tel Migne Ekron: a joint excavation and publication project;
DEGIP:D3;;Debono, Fernand
DEGIP:D2;;Seger, Joe D.
DEGIP:D1;<A> manual of field excavation: handbook for field archaeologists;
DEGIP:L2;Lexikon der Agyptologie;
DEGIP:L1;<La> céramique de l'Age du Fer II-III à Tell Abou danné et ses rapports avec la céramique contemporaine en Syrie;
DEGIP:H2;Tell El Qedwa pottery;
DEGIP:H1;;Hall, H.R.
DEGIP:H1;;Hall, H.R.
DEGIP:H3;;
DEGIP:H4;"Arcilla IV en Tell El Daba: agrupaciones preliminares; características y descripción";
DEGIP:H5;Glossary English Arabic;
DEGIP:H6;Let's chat in Arabic: a practical introduction to the Spoken Arabic of Cairo;
DEGIP:H6;Excavation manual Madaba Plains Project;
DEGIP:S1;;
DEGIP:S2;Pottery analysis;
DEGIP:S4;;Sneh, AmihaiWeissbrod, TuviaPerath, Itamar
DEGIP:;<The> Assyrian Empire;
DEGIP:S3;<The> Assyrian empire;Smith, Sidney
DEGIP:S3;<The> Assyrian Empire;Smith, Sidney
DEGIP:S3;<The> Assyrian empire;
